2020-05-06 16:40:18,397 | INFO  | restartedMain:c.n.d.DiscoveryClient:1305 | Saw local status change event StatusChangeEvent [timestamp=1588754418397, current=UP, previous=STARTING]
2020-05-06 16:40:18,429 | INFO  | DiscoveryClient-InstanceInfoReplicator-0:c.n.d.DiscoveryClient:826 | DiscoveryClient_CONFIG/localhost:config:1001: registering service...
2020-05-06 16:40:18,475 | INFO  | restartedMain:o.a.c.h.Http11NioProtocol:173 | Starting ProtocolHandler ["http-nio-1001"]
2020-05-06 16:40:18,522 | INFO  | restartedMain:o.s.b.w.e.t.TomcatWebServer:204 | Tomcat started on port(s): 1001 (http) with context path ''
2020-05-06 16:40:18,522 | INFO  | restartedMain:o.s.c.n.e.s.EurekaAutoServiceRegistration:143 | Updating port to 1001
2020-05-06 16:40:18,537 | INFO  | restartedMain:c.b.c.ConfigApplication:59 | Started ConfigApplication in 21.953 seconds (JVM running for 27.514)
2020-05-06 16:40:18,693 | INFO  | DiscoveryClient-InstanceInfoReplicator-0:c.n.d.DiscoveryClient:835 | DiscoveryClient_CONFIG/localhost:config:1001 - registration status: 204
2020-05-06 16:40:20,402 | INFO  | RMI TCP Connection(2)-192.168.1.1:o.a.c.c.C.[.[.[/]:173 | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-06 16:40:20,402 | INFO  | RMI TCP Connection(2)-192.168.1.1:o.s.w.s.DispatcherServlet:524 | Initializing Servlet 'dispatcherServlet'
2020-05-06 16:40:20,418 | INFO  | RMI TCP Connection(2)-192.168.1.1:o.s.w.s.DispatcherServlet:546 | Completed initialization in 16 ms
2020-05-06 16:40:23,132 | INFO  | RMI TCP Connection(3)-192.168.1.1:o.s.c.c.u.InetUtils:170 | Cannot determine local hostname
2020-05-06 16:40:23,194 | INFO  | RMI TCP Connection(3)-192.168.1.1:o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:227 | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-05-06 16:40:48,396 | INFO  | DiscoveryClient-CacheRefreshExecutor-0:c.n.d.DiscoveryClient:958 | Disable delta property : false
2020-05-06 16:40:48,396 | INFO  | DiscoveryClient-CacheRefreshExecutor-0:c.n.d.DiscoveryClient:959 | Single vip registry refresh property : null
2020-05-06 16:40:48,396 | INFO  | DiscoveryClient-CacheRefreshExecutor-0:c.n.d.DiscoveryClient:960 | Force full registry fetch : false
2020-05-06 16:40:48,396 | INFO  | DiscoveryClient-CacheRefreshExecutor-0:c.n.d.DiscoveryClient:961 | Application is null : false
2020-05-06 16:40:48,396 | INFO  | DiscoveryClient-CacheRefreshExecutor-0:c.n.d.DiscoveryClient:962 | Registered Applications size is zero : true
2020-05-06 16:40:48,396 | INFO  | DiscoveryClient-CacheRefreshExecutor-0:c.n.d.DiscoveryClient:964 | Application version is -1: false
2020-05-06 16:40:48,396 | INFO  | DiscoveryClient-CacheRefreshExecutor-0:c.n.d.DiscoveryClient:1047 | Getting all instance registry info from the eureka server
2020-05-06 16:40:48,443 | INFO  | DiscoveryClient-CacheRefreshExecutor-0:c.n.d.DiscoveryClient:1056 | The response status is 200
2020-05-06 16:41:22,918 | INFO  | http-nio-1001-exec-1:o.s.c.c.u.InetUtils:170 | Cannot determine local hostname
2020-05-06 16:41:23,037 | INFO  | http-nio-1001-exec-1:o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:227 | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-05-06 16:41:23,058 | INFO  | http-nio-1001-exec-1:o.s.c.c.s.e.NativeEnvironmentRepository:266 | Adding property source: classpath:/config/gateway-dev.yml
2020-05-06 16:41:56,030 | INFO  | http-nio-1001-exec-3:o.s.c.c.u.InetUtils:170 | Cannot determine local hostname
2020-05-06 16:41:56,155 | INFO  | http-nio-1001-exec-3:o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:227 | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-05-06 16:41:56,202 | INFO  | http-nio-1001-exec-3:o.s.c.c.s.e.NativeEnvironmentRepository:266 | Adding property source: classpath:/config/gateway-dev.yml
2020-05-06 16:42:14,775 | INFO  | http-nio-1001-exec-4:o.s.c.c.u.InetUtils:170 | Cannot determine local hostname
2020-05-06 16:42:14,806 | INFO  | http-nio-1001-exec-4:o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:227 | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-05-06 16:44:07,070 | INFO  | http-nio-1001-exec-6:o.s.c.c.u.InetUtils:170 | Cannot determine local hostname
2020-05-06 16:44:07,086 | INFO  | http-nio-1001-exec-6:o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:227 | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-05-06 16:45:17,169 | INFO  | AsyncResolver-bootstrap-executor-0:c.n.d.s.r.a.ConfigClusterResolver:43 | Resolving eureka endpoints via configuration
2020-05-06 16:48:52,824 | INFO  | http-nio-1001-exec-8:o.s.c.c.u.InetUtils:170 | Cannot determine local hostname
